subject_name,sample_name
H_1104_CAP_mRNASeq,H_1104_CAP_mRNASeq__R1
H_1104_CAP_mRNASeq,H_1104_CAP_mRNASeq__R2
H_1105_CAP_mRNASeq,H_1105_CAP_mRNASeq__R1
H_1105_CAP_mRNASeq,H_1105_CAP_mRNASeq__R2
H_0001_BA9_mRNASeq,H_0001_BA9_mRNASeq__R1
H_0001_BA9_mRNASeq,H_0001_BA9_mRNASeq__R2
H_0002_BA9_mRNASeq,H_0002_BA9_mRNASeq__R1
H_0002_BA9_mRNASeq,H_0002_BA9_mRNASeq__R2
H_0003_BA9_mRNASeq,H_0003_BA9_mRNASeq__R1
H_0003_BA9_mRNASeq,H_0003_BA9_mRNASeq__R2
H_0005_BA9_mRNASeq,H_0005_BA9_mRNASeq__R1
H_0005_BA9_mRNASeq,H_0005_BA9_mRNASeq__R2
H_0006_BA9_mRNASeq,H_0006_BA9_mRNASeq__R1
H_0006_BA9_mRNASeq,H_0006_BA9_mRNASeq__R2
H_0007_BA9_mRNASeq,H_0007_BA9_mRNASeq__R1
H_0007_BA9_mRNASeq,H_0007_BA9_mRNASeq__R2
H_0008_BA9_mRNASeq,H_0008_BA9_mRNASeq__R1
H_0008_BA9_mRNASeq,H_0008_BA9_mRNASeq__R2
H_0009_BA9_mRNASeq,H_0009_BA9_mRNASeq__R1
H_0009_BA9_mRNASeq,H_0009_BA9_mRNASeq__R2
H_0010_BA9_mRNASeq,H_0010_BA9_mRNASeq__R1
H_0010_BA9_mRNASeq,H_0010_BA9_mRNASeq__R2
H_0012_BA9_mRNASeq,H_0012_BA9_mRNASeq__R1
H_0012_BA9_mRNASeq,H_0012_BA9_mRNASeq__R2
H_0013_BA9_mRNASeq,H_0013_BA9_mRNASeq__R1
H_0013_BA9_mRNASeq,H_0013_BA9_mRNASeq__R2
H_0014_BA9_mRNASeq,H_0014_BA9_mRNASeq__R1
H_0014_BA9_mRNASeq,H_0014_BA9_mRNASeq__R2
H_0513_BA9_mRNASeq,H_0513_BA9_mRNASeq__R1
H_0513_BA9_mRNASeq,H_0513_BA9_mRNASeq__R2
H_0539_BA9_mRNASeq,H_0539_BA9_mRNASeq__R1
H_0539_BA9_mRNASeq,H_0539_BA9_mRNASeq__R2
H_0601_BA9_mRNASeq,H_0601_BA9_mRNASeq__R1
H_0601_BA9_mRNASeq,H_0601_BA9_mRNASeq__R2
H_0656_BA9_mRNASeq,H_0656_BA9_mRNASeq__R1
H_0656_BA9_mRNASeq,H_0656_BA9_mRNASeq__R2
H_0657_BA9_mRNASeq,H_0657_BA9_mRNASeq__R1
H_0657_BA9_mRNASeq,H_0657_BA9_mRNASeq__R2
H_0658_BA9_mRNASeq,H_0658_BA9_mRNASeq__R1
H_0658_BA9_mRNASeq,H_0658_BA9_mRNASeq__R2
H_0681_BA9_mRNASeq,H_0681_BA9_mRNASeq__R1
H_0681_BA9_mRNASeq,H_0681_BA9_mRNASeq__R2
H_0689_BA9_mRNASeq,H_0689_BA9_mRNASeq__R1
H_0689_BA9_mRNASeq,H_0689_BA9_mRNASeq__R2
H_0695_BA9_mRNASeq,H_0695_BA9_mRNASeq__R1
H_0695_BA9_mRNASeq,H_0695_BA9_mRNASeq__R2
H_0700_BA9_mRNASeq,H_0700_BA9_mRNASeq__R1
H_0700_BA9_mRNASeq,H_0700_BA9_mRNASeq__R2
H_0709_BA9_mRNASeq,H_0709_BA9_mRNASeq__R1
H_0709_BA9_mRNASeq,H_0709_BA9_mRNASeq__R2
H_0723_BA9_mRNASeq,H_0723_BA9_mRNASeq__R1
H_0723_BA9_mRNASeq,H_0723_BA9_mRNASeq__R2
H_0726_BA9_mRNASeq,H_0726_BA9_mRNASeq__R1
H_0726_BA9_mRNASeq,H_0726_BA9_mRNASeq__R2
H_0740_BA9_mRNASeq,H_0740_BA9_mRNASeq__R1
H_0740_BA9_mRNASeq,H_0740_BA9_mRNASeq__R2
H_0750_BA9_mRNASeq,H_0750_BA9_mRNASeq__R1
H_0750_BA9_mRNASeq,H_0750_BA9_mRNASeq__R2
H_0791_BA9_mRNASeq,H_0791_BA9_mRNASeq__R1
H_0791_BA9_mRNASeq,H_0791_BA9_mRNASeq__R2
H_0791_BA9_mRNASeq,H_0791_BA9_mRNASeq__R2
H_0802_BA9_mRNASeq,H_0802_BA9_mRNASeq__R1
H_0802_BA9_mRNASeq,H_0802_BA9_mRNASeq__R2
H_0821_BA9_mRNASeq,H_0821_BA9_mRNASeq__R1
H_0821_BA9_mRNASeq,H_0821_BA9_mRNASeq__R2
H_1104_BA9_mRNASeq,H_1104_BA9_mRNASeq__R1
H_1104_BA9_mRNASeq,H_1104_BA9_mRNASeq__R2
H_1105_BA9_mRNASeq,H_1105_BA9_mRNASeq__R1
H_1105_BA9_mRNASeq,H_1105_BA9_mRNASeq__R2
H_1106_BA9_mRNASeq,H_1106_BA9_mRNASeq__R1
H_1106_BA9_mRNASeq,H_1106_BA9_mRNASeq__R2